trajectory,family,take,mode,search_status,source_frames,left_accept_frames,right_accept_frames,both_accept_frames,left_accept_coverage,right_accept_coverage,both_accept_coverage,collision_frames,edge_collision_frames,topology_invalid_frames,longest_hold_frames,maximum_position_error_mm,maximum_orientation_error_deg,maximum_velocity_rad_s,maximum_acceleration_rad_s2,limits_passed
8-12/Fold_Box/111132,8-12/Fold_Box,111132,horizontal_wall,complete,9476,0,0,0,0.0,0.0,0.0,0,0,0,9476,791.8287707582779,179.9982036317711,0.0,0.0,True
8-12/Fold_Box/111132,8-12/Fold_Box,111132,inverted,complete,9476,0,0,0,0.0,0.0,0.0,0,0,0,9476,788.0387450662847,179.99999281874557,0.0,0.0,True
8-12/InsertIntoBottle/112750,8-12/InsertIntoBottle,112750,baseline,complete,2296,38,2296,38,0.016550522648083623,1.0,0.016550522648083623,0,0,0,2258,770.1907308029213,78.76488334020475,8.746420847048356,364.86174863144055,False
8-12/InsertIntoBottle/112750,8-12/InsertIntoBottle,112750,upright_table,complete,2296,0,671,0,0.0,0.2922473867595819,0.0,0,0,0,2296,796.576853657588,168.43846036436122,11.878981887238957,557.1896266058151,False
8-12/InsertIntoBottle/112750,8-12/InsertIntoBottle,112750,horizontal_wall,complete,2296,0,0,0,0.0,0.0,0.0,0,0,0,2296,901.2487863029021,168.78780371513753,0.0,0.0,True
8-12/InsertIntoBottle/112750,8-12/InsertIntoBottle,112750,inverted,complete,2296,31,0,0,0.013501742160278746,0.0,0.0,0,0,0,2296,759.1619578799689,179.70288731388786,14.17580330431812,649.8650200678653,False
8-12/InsertIntoBottle/112858,8-12/InsertIntoBottle,112858,baseline,complete,2830,82,1815,82,0.028975265017667843,0.6413427561837456,0.028975265017667843,0,0,20,2079,952.8611319721346,91.17766415145002,15.4944089217081,674.4832641193884,False
8-12/InsertIntoBottle/112858,8-12/InsertIntoBottle,112858,upright_table,complete,2830,0,176,0,0.0,0.06219081272084806,0.0,0,0,0,2830,917.7708441671074,174.5214327016674,10.335493049668102,257.6000469555185,False
8-12/InsertIntoBottle/112858,8-12/InsertIntoBottle,112858,horizontal_wall,complete,2830,0,0,0,0.0,0.0,0.0,0,0,0,2830,965.7905514307505,156.69024179621,0.0,0.0,True
8-12/InsertIntoBottle/112858,8-12/InsertIntoBottle,112858,inverted,complete,2830,0,0,0,0.0,0.0,0.0,0,0,0,2830,1004.5956252328912,179.9239378076152,0.0,0.0,True
8-12/InsertIntoBottle/112945,8-12/InsertIntoBottle,112945,baseline,complete,2167,258,2166,258,0.11905860636825104,0.9995385325334564,0.11905860636825104,0,0,0,1545,780.8600857417038,135.7108033640666,14.783989945507358,831.6381048499228,False
8-12/InsertIntoBottle/112945,8-12/InsertIntoBottle,112945,upright_table,complete,2167,0,676,0,0.0,0.31195200738347945,0.0,0,0,0,2167,893.6589534742254,171.4106419339235,12.062436517670509,513.8328824543086,False
8-12/InsertIntoBottle/112945,8-12/InsertIntoBottle,112945,horizontal_wall,complete,2167,0,0,0,0.0,0.0,0.0,0,0,0,2167,853.867997881109,174.03928735954295,0.0,0.0,True
8-12/InsertIntoBottle/112945,8-12/InsertIntoBottle,112945,inverted,complete,2167,0,0,0,0.0,0.0,0.0,0,0,0,2167,915.1301364097918,179.99902531167234,0.0,0.0,True
8-12/InsertSmallPackageIntoMachine/111812,8-12/InsertSmallPackageIntoMachine,111812,baseline,complete,7350,0,0,0,0.0,0.0,0.0,0,0,0,7350,935.4305177700733,162.43857076132835,0.0,0.0,True
8-12/InsertSmallPackageIntoMachine/111812,8-12/InsertSmallPackageIntoMachine,111812,upright_table,complete,7350,0,0,0,0.0,0.0,0.0,0,0,0,7350,1128.3366251607479,163.09468880043548,0.0,0.0,True
8-12/InsertSmallPackageIntoMachine/111812,8-12/InsertSmallPackageIntoMachine,111812,horizontal_wall,complete,7350,0,0,0,0.0,0.0,0.0,0,0,0,7350,981.3857679819711,179.98383041794858,0.0,0.0,True
8-12/InsertSmallPackageIntoMachine/111812,8-12/InsertSmallPackageIntoMachine,111812,inverted,complete,7350,8,0,0,0.0010884353741496598,0.0,0.0,0,0,0,7350,745.0677799398085,179.998979051023,3.3079104062528515,77.63171416719908,False
8-12/PackIntoBox/112524,8-12/PackIntoBox,112524,baseline,complete,4417,644,0,0,0.14580031695721077,0.0,0.0,0,0,0,4417,571.350786780427,125.04834314877675,16.866353004170865,767.5410810502549,False
8-12/PackIntoBox/112524,8-12/PackIntoBox,112524,upright_table,complete,4417,189,0,0,0.042789223454833596,0.0,0.0,0,0,0,4417,604.0958429092332,179.83213553163108,12.055524730730653,550.1966260480863,False
8-12/PackIntoBox/112524,8-12/PackIntoBox,112524,horizontal_wall,complete,4417,0,0,0,0.0,0.0,0.0,0,0,0,4417,923.3459487743495,179.9904061628186,0.0,0.0,True
8-12/PackIntoBox/112524,8-12/PackIntoBox,112524,inverted,complete,4417,0,0,0,0.0,0.0,0.0,0,0,0,4417,930.6357925465885,179.98426228522933,0.0,0.0,True
8-12/PackIntoBox/112633,8-12/PackIntoBox,112633,baseline,complete,4695,90,0,0,0.019169329073482427,0.0,0.0,0,0,0,4695,588.8422284504891,129.3066214226789,4.151124122494721,177.18373403239053,False
8-12/PackIntoBox/112633,8-12/PackIntoBox,112633,upright_table,complete,4695,124,0,0,0.026411075612353566,0.0,0.0,0,0,0,4695,652.3316222291372,179.97223995404173,11.981717245844571,665.8218133879433,False
8-12/PackIntoBox/112633,8-12/PackIntoBox,112633,horizontal_wall,complete,4695,0,0,0,0.0,0.0,0.0,0,0,0,4695,882.7107960682997,179.97383797062298,0.0,0.0,True
8-12/PackIntoBox/112633,8-12/PackIntoBox,112633,inverted,complete,4695,0,0,0,0.0,0.0,0.0,0,0,0,4695,885.5891922952139,179.99994406348753,0.0,0.0,True
8-12/PourRawMaterial/111542,8-12/PourRawMaterial,111542,baseline,complete,5942,0,0,0,0.0,0.0,0.0,0,0,0,5942,1043.211003952759,179.9996104313681,0.0,0.0,True
8-12/PourRawMaterial/111542,8-12/PourRawMaterial,111542,upright_table,complete,5942,775,0,0,0.1304274654998317,0.0,0.0,0,0,0,5942,1218.4392593964008,176.87881168532195,9.072410535395086,486.59157142153197,False
8-12/PourRawMaterial/111542,8-12/PourRawMaterial,111542,horizontal_wall,complete,5942,0,0,0,0.0,0.0,0.0,0,0,0,5942,1032.795935497447,179.99856392816537,0.0,0.0,True
8-12/PourRawMaterial/111542,8-12/PourRawMaterial,111542,inverted,complete,5942,0,0,0,0.0,0.0,0.0,0,0,0,5942,940.9952968502774,179.99966922375881,0.0,0.0,True
8-12/PutIntoBox/113145,8-12/PutIntoBox,113145,baseline,complete,4804,0,0,0,0.0,0.0,0.0,4804,4803,0,4804,2322.6590783251627,179.9544981044972,0.0,0.0,True
8-12/PutIntoBox/113145,8-12/PutIntoBox,113145,upright_table,complete,4804,0,0,0,0.0,0.0,0.0,0,0,0,4804,2458.6189976670275,179.7688135898114,0.0,0.0,True
8-12/PutIntoBox/113145,8-12/PutIntoBox,113145,horizontal_wall,complete,4804,0,0,0,0.0,0.0,0.0,0,0,0,4804,2002.4578806145553,179.9915905438061,0.0,0.0,True
8-12/PutIntoBox/113145,8-12/PutIntoBox,113145,inverted,complete,4804,0,0,0,0.0,0.0,0.0,0,0,0,4804,2583.9861717339722,179.98778535131638,0.0,0.0,True
8-12/PutIntoBox/113250,8-12/PutIntoBox,113250,baseline,complete,4157,0,0,0,0.0,0.0,0.0,4157,4156,0,4157,875.5626460987734,132.75208844822708,0.0,0.0,True
8-12/PutIntoBox/113250,8-12/PutIntoBox,113250,upright_table,complete,4157,0,0,0,0.0,0.0,0.0,0,0,0,4157,800.4141823838299,152.20016284132623,0.0,0.0,True
8-12/PutIntoBox/113250,8-12/PutIntoBox,113250,horizontal_wall,complete,4157,3113,316,53,0.7488573490497955,0.07601635795044503,0.012749579023334135,0,0,0,3841,954.1077965970135,95.19362737268584,12.948002907653184,670.2589957600632,False
8-12/PutIntoBox/113250,8-12/PutIntoBox,113250,inverted,complete,4157,0,0,0,0.0,0.0,0.0,0,0,0,4157,833.2855397436721,179.23240548397666,0.0,0.0,True
